2.620514685289229266e+06,3.723572759405860677e+06,2.794274816266325768e+06,3.307305587044154759e+06,2.554880019999393262e+06,3.400273855225563049e+06,2.950376479721830226e+06,3.394756988807547837e+06,2.715894363355648238e+06,3.794573664830793627e+06
3.723297839625844732e+06,3.950685745321085211e+06,3.700753999543711543e+06,4.039877302319386974e+06,3.450547630975923035e+06,4.211398566566364840e+06,3.685041687098190188e+06,4.230250843242804520e+06,3.489198208705601282e+06,4.135024236434135586e+06
2.794485381765661761e+06,3.699870358168156818e+06,2.447703264545318205e+06,2.939398930421607103e+06,2.423591716484773904e+06,2.967079182390780188e+06,2.685728967674114741e+06,3.199726164325826801e+06,2.813424543805426452e+06,3.634538530574986245e+06
3.306431282184941694e+06,4.039739245911713690e+06,2.939405615964783356e+06,3.116506646857690997e+06,2.889907827631589491e+06,3.262825062413460575e+06,3.028724649754354730e+06,3.546373720548531972e+06,3.202162989533521235e+06,3.897366685630626045e+06
2.554863581312409602e+06,3.450424542349651456e+06,2.423616770772648975e+06,2.889542069556158036e+06,2.180394526482461486e+06,2.954923039839002304e+06,2.553853377695246134e+06,3.041111854561721440e+06,2.543590486349795945e+06,3.441313540251536295e+06
3.399559322540887631e+06,4.211214229941751808e+06,2.967129570890132338e+06,3.262856717541576363e+06,2.955047014963341877e+06,3.231117636747648474e+06,3.100283363600207493e+06,3.610511082404877059e+06,3.386918959166555665e+06,4.075252595236448571e+06
2.950255903385320678e+06,3.685431475922397338e+06,2.685777502943531144e+06,3.028559690790290013e+06,2.553724187620583922e+06,3.100278098333681002e+06,2.630251189573907759e+06,3.341297132124532945e+06,2.873879915547613986e+06,3.648344343468091451e+06
3.394471126456353348e+06,4.230768807236951776e+06,3.199948533108276315e+06,3.546156605654298328e+06,3.041390397731466219e+06,3.610997490678952076e+06,3.341374823748732917e+06,3.441102277810011990e+06,3.387299186495169997e+06,4.139747871324765496e+06
2.715917227795185521e+06,3.489294306912209839e+06,2.813423628094868734e+06,3.202225120710419957e+06,2.543460977845892310e+06,3.386004181882457808e+06,2.873681117452823557e+06,3.387071730272693560e+06,2.440638944075095467e+06,3.541524541614622343e+06
3.794089046330024023e+06,4.135059057863902301e+06,3.635043208280236460e+06,3.897457676383454353e+06,3.441391627195355482e+06,4.075571935068420600e+06,3.648385192925515585e+06,4.139557935505858157e+06,3.541702790969400667e+06,4.021107497263178229e+06
